         414664 function calls (404841 primitive calls) in 0.342 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1527(_guarded_repr_or_str)
      217    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
      107    0.000    0.000    0.014    0.000 sre_parse.py:913(parse)
      268    0.000    0.000    0.005    0.000 __init__.py:2571(__init__)
    148/3    0.000    0.000    0.001    0.000 pyparsing.py:1370(_parseNoCache)
      134    0.000    0.000    0.001    0.000 __init__.py:2873(insert_on)
      211    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
       78    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     2069    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     2192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      477    0.000    0.000    0.000    0.000 __init__.py:2818(__getattr__)
       32    0.000    0.000    0.019    0.001 popen_fork.py:16(__init__)
     1198    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      146    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
       32    0.000    0.000    0.001    0.000 pool.py:152(Process)
      113    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
      134    0.000    0.000    0.000    0.000 __init__.py:2899(<listcomp>)
      926    0.000    0.000    0.000    0.000 typing.py:595(_is_dunder)
      575    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
       23    0.000    0.000    0.000    0.000 inspect.py:2117(_signature_from_function)
      362    0.000    0.000    0.002    0.000 enum.py:289(__call__)
      107    0.000    0.000    0.000    0.000 enum.py:841(__and__)
      211    0.000    0.000    0.001    0.000 __init__.py:1489(_validate_resource_path)
      211    0.000    0.000    0.001    0.000 __init__.py:1483(_fn)
       57    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       26    0.000    0.000    0.001    0.000 traceback.py:318(extract)
       35    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
      565    0.000    0.000    0.000    0.000 __init__.py:84(find_spec)
      269    0.000    0.000    0.000    0.000 posixpath.py:144(basename)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      211    0.000    0.000    0.000    0.000 ntpath.py:67(isabs)
       22    0.000    0.000    0.030    0.001 __init__.py:607(add_entry)
        1    0.000    0.000    0.004    0.004 builder.py:636(__wrapNumpyOperators)
       65    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       39    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
      483    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      419    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       91    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1040(create_module)
        1    0.000    0.000    0.000    0.000 six.py:21(<module>)
      471    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
     1157    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      262    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      258    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
        1    0.000    0.000    0.001    0.001 core.py:21(<module>)
     1640    0.000    0.000    0.000    0.000 version.py:459(<lambda>)
      560    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
        7    0.000    0.000    0.000    0.000 enum.py:659(<listcomp>)
  138/102    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      575    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
  206/192    0.000    0.000    0.002    0.000 typing.py:248(inner)
      548    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      134    0.000    0.000    0.005    0.000 __init__.py:2782(activate)
      127    0.000    0.000    0.000    0.000 enum.py:71(__setitem__)
       64    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      163    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      166    0.000    0.000    0.000    0.000 enum.py:381(__setattr__)
      167    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
      104    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       37    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
       83    0.000    0.000    0.001    0.000 pyparsing.py:1821(__add__)
      134    0.000    0.000    0.003    0.000 __init__.py:2310(fixup_namespace_packages)
      114    0.000    0.000    0.000    0.000 inspect.py:2467(__init__)
      107    0.000    0.000    0.007    0.000 sre_compile.py:598(_code)
    19/18    0.000    0.000    0.001    0.000 posixpath.py:400(_joinrealpath)
        2    0.000    0.000    0.020    0.010 __init__.py:7(<module>)
  356/207    0.000    0.000    0.000    0.000 typing.py:669(__hash__)
      273    0.000    0.000    0.001    0.000 re.py:187(sub)
      560    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      354    0.000    0.000    0.000    0.000 enum.py:531(__new__)
     1529    0.000    0.000    0.001    0.000 __init__.py:2366(_normalize_cached)
      268    0.000    0.000    0.001    0.000 __init__.py:1315(safe_name)
        1    0.000    0.000    0.002    0.002 lapack.py:811(<module>)
        6    0.000    0.000    0.002    0.000 dataclasses.py:795(_process_class)
        1    0.000    0.000    0.002    0.002 codata.py:51(<module>)
        1    0.000    0.000    0.004    0.004 numeric.py:1(<module>)
        1    0.000    0.000    0.047    0.047 __init__.py:108(<module>)
      131    0.000    0.000    0.000    0.000 typing.py:165(_collect_type_vars)
       40    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
      140    0.000    0.000    0.000    0.000 _internal.py:815(_ufunc_doc_signature_formatter)
       82    0.000    0.000    0.000    0.000 pyparsing.py:3719(__init__)
    51/37    0.000    0.000    0.001    0.000 typing.py:340(__getitem__)
